MCD	Age (ka BP)	Terrigenous %
65.2	2049.93	20.38
65.25	2051.91	20.38
65.3	2053.89	20.38
65.35	2055.87	21.39
65.4	2057.84	25.41
65.45	2059.82	30.44
65.5	2061.8	32.95
65.55	2063.78	32.45
65.6	2065.76	33.95
65.65	2067.73	33.45
65.7	2069.71	33.95
65.75	2071.69	33.45
65.8	2073.67	30.94
65.85	2075.65	32.45
65.9	2077.63	33.45
65.95	2079.61	38.48
66	2081.58	42.5
66.05	2083.97	45.52
66.1	2086.52	45.52
66.15	2089.06	42
66.2	2091.61	40.49
66.25	2094.15	31.44
66.3	2096.69	24.91
66.35	2099.24	25.41
66.4	2104.33	36.97
66.5	2106.87	39.48
66.55	2109.42	34.46
66.6	2111.96	34.46
66.65	2114.5	33.95
66.7	2117.05	29.93
66.75	2119.59	28.42
66.8	2122.14	37.47
66.85	2124.11	44.01
66.9	2125.3	45.52
66.95	2126.5	41.49
67	2127.69	33.95
