anu	ins_chb_s	ins_chb_a	ins_tibet_s
133270	468.885041698255	403.829926961382	488.919262624286
133280	468.869780850554	403.845728586145	488.830327131617
133290	468.854279064618	403.861686104513	488.741480707239
133300	468.838536546095	403.877799453756	488.652723720977
133310	468.822553502417	403.894068571186	488.564056541374
133320	468.806330143075	403.910493393963	488.475479536291
133330	468.789866679422	403.927073859053	488.386993072635
133340	468.773163324537	403.943809903807	488.29859751648
133350	468.75622029366	403.960701465161	488.210293233081
133360	468.739037803563	403.977748480262	488.122080586978
133370	468.721616073204	403.994950886017	488.033959941478
133380	468.703955323198	404.012308619389	487.94593165947
133390	468.68605577626	404.02982161731	487.857996102717
133400	468.667917656853	404.047489816727	487.770153632449
133410	468.649541191255	404.065313154385	487.682404608574
133420	468.630926607596	404.083291567045	487.594749390793
133430	468.61207413604	404.101424991548	487.507188337438
133440	468.592984008466	404.11971336435	487.419721806263
133450	468.573656458642	404.138156622329	487.332350154254
133460	468.554091722273	404.15675470187	487.245073737509
133470	468.534290036757	404.175507539557	487.157892911261
133480	468.514251641374	404.194415071841	487.070808030028
133490	468.493976777436	404.213477235101	486.983819447295
133500	468.473465687862	404.232693965634	486.896927516195
133510	468.452718617508	404.252065199726	486.810132588602
133520	468.431735813123	404.27159087339	486.723435015719
133530	468.410517523135	404.291270923053	486.636835148143
133540	468.389063997966	404.311105284489	486.550333335564
133550	468.367375489737	404.331093893744	486.463929926698
133560	468.345452252468	404.351236686805	486.377625269678
133570	468.323294541979	404.371533599426	486.291419711959
133580	468.300902615869	404.391984567295	486.205313599859
133590	468.278276733623	404.412589526063	486.119307279204
133600	468.255417156502	404.433348411301	486.033401094994
133610	468.232324147505	404.45426115851	485.947595391359
133620	468.208997971468	404.475327703037	485.861890511764
133630	468.185438895185	404.496547980294	485.776286798742
133640	468.16164718699	404.51792192518	485.690784594388
133650	468.137623117225	404.539449473183	485.605384239756
133660	468.113366957848	404.561130559041	485.520086075147
133670	468.088878982776	404.582965117743	485.434890440233
133680	468.064159467511	404.604953084113	485.349797673829
133690	468.039208689564	404.627094392794	485.264808114101
133700	468.014026927988	404.649388978368	485.179922098378
133710	467.988614463794	404.671836775314	485.095139963325
133720	467.962971579622	404.694437718127	485.010462044791
133730	467.937098560072	404.717191740786	484.92588867789
133740	467.910995691218	404.740098777614	484.841420197013
133750	467.884663261235	404.763158762668	484.757056935863
133760	467.858101559722	404.786371629673	484.672799227358
133770	467.831310878136	404.809737312455	484.588647403736
133780	467.804291509908	404.833255744758	484.504601796352
133790	467.777043749958	404.856926859862	484.420662736135
133800	467.749567895071	404.880750591417	484.336830553023
133810	467.721864243548	404.904726872452	484.25310557638
133820	467.693933095721	404.928855636184	484.169488134787
133830	467.665774753549	404.953136815505	484.085978556152
133840	467.637389520624	404.977570343231	484.002577167639
133850	467.608777702383	405.00215615224	483.919284295754
133860	467.579939605963	405.026894174781	483.836100266198
133870	467.550875540063	405.051784343312	483.753025404161
133880	467.521585815278	405.076826590298	483.670060033956
133890	467.492070743937	405.102020847575	483.587204479143
133900	467.462330639877	405.127367047077	483.504459062832
133910	467.432365818745	405.152865120712	483.421824107333
133920	467.402176597922	405.178514999894	483.339299934146
133930	467.371763296444	405.204316616149	483.256886864242
133940	467.34112623507	405.230269900715	483.174585217926
133950	467.310265736143	405.256374784867	483.092395314613
133960	467.279182123763	405.282631199172	483.010317473244
133970	467.247875723799	405.309039074661	482.928352011978
133980	467.216346863556	405.335598341809	482.846499248341
133990	467.184595872141	405.36230893104	482.764759499201
134000	467.152623080517	405.389170772404	482.683133080737
134010	467.121554553248	405.415273692949	482.600734486418
134020	467.090264910137	405.441527409504	482.518445219844
134030	467.058754462503	405.467931862339	482.436265598484
134040	467.027023523377	405.494486991272	482.354195938924
134050	466.995072407475	405.521192736123	482.272236557595
134060	466.962901431087	405.548049036358	482.190387769903
134070	466.930510912254	405.575055831438	482.108649890881
134080	466.897901170504	405.60221306049	482.027023234742
134090	466.865072527146	405.629520662667	481.945508115238
134100	466.832025305041	405.656978576606	481.864104845435
134110	466.798759828707	405.684586741129	481.782813737546
134120	466.765276424387	405.712345094448	481.701635103597
134130	466.731575419709	405.740253574906	481.620569254675
134140	466.697657144074	405.768312120577	481.539616501319
134150	466.663521928557	405.796520669227	481.458777153568
134160	466.629170105753	405.824879158446	481.378051520595
134170	466.594602009794	405.853387525721	481.29743991128
134180	466.559817976586	405.882045708262	481.216942633677
134190	466.524818343491	405.910853642903	481.136559995327
134200	466.489603449607	405.93981126649	481.056292303214
134210	466.454173635412	405.968918515605	480.976139863517
134220	466.418529243247	405.998175326528	480.896102982058
134230	466.382670616823	406.027581635344	480.81618196383
134240	466.346598101431	406.057137377981	480.736377113476
134250	466.310312044178	406.086842489943	480.656688734944
134260	466.273812793434	406.116696906684	480.577117131505
134270	466.237100699316	406.146700563389	480.49766260592
134280	466.200176113512	406.176853394881	480.418325460477
134290	466.163039389173	406.207155335967	480.339105996597
134300	466.125690881119	406.237606320952	480.260004515369
134310	466.088130945558	406.268206284034	480.181021317216
134320	466.050359940446	406.298955159115	480.102156702148
134330	466.012378225234	406.329852879889	480.023410969072
134340	465.974186160712	406.36089937972	479.944784417193
134350	465.935784109497	406.392094591822	479.866277344217
134360	465.897172435586	406.423438448962	479.787890047944
134370	465.858351504546	406.454930883812	479.709622825286
134380	465.819321683474	406.486571828713	479.631475972747
134390	465.780083340855	406.518361215638	479.553449786129
134400	465.740636846946	406.550298976446	479.475544560797
134410	465.700982573224	406.582385042662	479.397760591637
134420	465.661120892926	406.614619345457	479.320098172604
134430	465.621052180705	406.647001815639	479.242557597476
134440	465.580776812686	406.679532384065	479.165139159423
134450	465.540295166435	406.712210980967	479.087843150894
134460	465.499607621158	406.745037536421	479.010669863968
134470	465.458714557412	406.778011980152	478.933619589972
134480	465.417616357407	406.811134241588	478.856692619975
134490	465.376313404617	406.844404249912	478.779889244272
134500	465.334806084183	406.877821933965	478.703209752624
134510	465.293094782555	406.911387222142	478.626654434501
134520	465.251179887766	406.945100042885	478.550223578462
134530	465.209061789253	406.978960323894	478.473917472784
134540	465.166740877995	407.012967992635	478.397736405165
